"","id","start_date","end_date","slope","slope_error","intercept","intercept_error","r2","dpoints"
"44","G073589E38486N ",1993,2019,-0.0648171594093084,0.0180925412740723,2.68097622095099,0.18488363355318,0.104486524744107,112
"45","G073785E38955N ",1993,2019,-0.0236429828559291,0.00967905511768163,1.69837296557845,0.114500685230182,0.0355234602209536,164
"46","G073864E38912N ",1992,2019,-0.0121116530988511,0.00426083472654493,1.41756123261099,0.047836063126944,0.0534823111583762,145
"47","G074498E42454N ",1999,2019,0.046681038709668,0.0625677011564558,7.62615547661682,0.639833241394859,0.00559126864441377,101
"48","G078291E41798N ",1996,2019,0.406950665226791,0.242849443099093,51.7208043911082,2.94484485785808,0.108806195334653,25
"49","G079373E44889N ",1991,2019,-0.134469153077834,0.106681955991709,10.5074736277156,1.27685314853272,0.0249852049304019,64
"50","G079485E44891N ",1991,2019,0.0168691483295576,0.0107335779191999,2.55954565575392,0.155272157937389,0.0543215701857047,45
"51","G080088E45018N ",1991,2019,-0.114842269378071,0.0479523826991419,13.3011203799081,0.605598974865656,0.0684971840764279,80
"52","G080229E45083N ",1989,2019,-0.0364107610580144,0.0142197787153124,2.83325425772136,0.176778756482373,0.0312876284414834,205
"53","G080314E45078N ",1989,2019,-0.0493866394901753,0.0266434573052608,6.08190634123284,0.33193962450313,0.0164053957161276,208
"54","G086801E43117N ",1991,2019,-0.0037437384509244,0.00688276444189083,1.0035654330351,0.0796075331427816,0.00439639640837181,69
"55","G086810E43111N ",1991,2019,-0.00173301179341698,0.0111414391123704,1.26100582288399,0.130313401796119,0.000424288531496181,59
"56","G088313E43812N ",1987,2019,-0.0726979362467927,0.0636996196035749,15.7013320242374,0.972805060274092,0.0117021497750653,112
"57","G098570E39226N ",1986,2019,-0.0911163247264389,0.0242974225843018,9.69137422329449,0.365262772722604,0.0817306538240232,160
"58","G098704E28433N ",1989,2019,-0.547874571764818,0.142360308775691,25.7603464867816,2.19358684090833,0.270219510487118,42
"59","G168556E44463S ",1999,2019,-0.103903774298403,0.0851538302209491,18.1616729944735,0.940891193622727,0.0130044214625891,115
"60","G168578E44439S ",1999,2019,-0.0832511523216623,0.0284386783640234,7.54960983303209,0.318390517678329,0.0835493222393343,96
"61","G168609E44455S ",1999,2019,-0.120563677110535,0.0707712465012952,14.1981333337357,0.764887847293175,0.0198910450168872,145
"62","G169947E43804S ",1999,2019,-0.0935099973672189,0.0820860088646291,7.94257839162113,0.900687229152556,0.0115559833445362,113
"63","G169959E43779S ",1999,2019,-0.0253461129883326,0.0360668533083021,3.0174984323588,0.40979347911103,0.00539776860551058,93
"64","G170492E43447S ",1999,2019,-0.0633167475223298,0.0894008984935363,13.1523139572642,0.991953804997685,0.00387327479866618,131
"65","G170591E43444S ",1999,2019,-0.312531574893097,0.15182021321889,16.0693479075067,1.69995787486938,0.029792979202384,140
"66","G170734E43324S ",1999,2019,-0.0704586776097373,0.0221932196572439,5.31736803388913,0.244323735987584,0.0457982885602871,212
"67","G170802E43324S ",1999,2019,-0.0262338578354959,0.0102775192928578,1.55396355370192,0.112410218953082,0.027664844035979,231
"68","G170913E43237S ",1999,2019,-0.422026694490826,0.156859075182579,24.0013036468199,1.72884134814088,0.0448943055311817,156
"69","G216152E69302N ",1986,2019,0.0719421030496493,0.0577603729542209,12.1863114837463,0.672673483039865,0.0197493450129503,79
"70","G287591E48477S ",1984,2019,-0.175973219770185,0.125707000889542,47.373078243075,1.53260961434731,0.018670327521183,105
"71","G287701E47628S ",1986,2007,0.663807638892506,2.31553740629803,55.2472849730575,50.1280569380558,0.0266638279233409,5
"72","G306775E67094N ",1992,2019,-0.0629068222333612,0.020199891336947,4.58562260946617,0.264864525574004,0.0603512175231548,153
